Funktionsname,Component,Components
AddToErrorLog,Plugin,Plugin
App.ClearTouchBar,App,"App, TouchBar"
CF,FM,"FM, Dictionary"
CGPSConverter.Convert,Utility,Utility
CLibrary.GetTag,CFunction,CFunction
CLibrary.List,CFunction,CFunction
CLibrary.Load,CFunction,CFunction
CLibrary.LoadFunction,CFunction,CFunction
CLibrary.Name,CFunction,CFunction
CLibrary.Release,CFunction,CFunction
CLibrary.ReleaseAll,CFunction,CFunction
CLibrary.SetTag,CFunction,CFunction
CLibrary.Symbols,CFunction,CFunction
CNContact.AddEmailAddress,Contacts,Contacts
CNContact.AddInstantMessage,Contacts,Contacts
CNContact.AddInstantMessageJSON,Contacts,Contacts
CNContact.AddPhoneNumber,Contacts,Contacts
CNContact.AddPostalAddress,Contacts,Contacts
CNContact.AddPostalAddressJSON,Contacts,Contacts
CNContact.AddRelation,Contacts,Contacts
CNContact.AddSocialProfile,Contacts,Contacts
CNContact.AddSocialProfileJSON,Contacts,Contacts
CNContact.AddURLAddress,Contacts,Contacts
CNContact.DeleteValue,Contacts,Contacts
CNContact.EditInAddressbook,Contacts,Contacts
CNContact.HasValue,Contacts,Contacts
CNContact.IsUnifiedWithContact,Contacts,Contacts
CNContact.JSON,Contacts,Contacts
CNContact.MailingAddress,Contacts,Contacts
CNContact.Name,Contacts,Contacts
CNContactPicker.Close,Contacts,Contacts
CNContactPicker.Current,Contacts,Contacts
CNContactPicker.CurrentProperties,Contacts,Contacts
CNContactPicker.GetDisplayedKeys,Contacts,Contacts
CNContactPicker.SetDisplayedKeys,Contacts,Contacts
CNContactPicker.SetTrigger,Contacts,Contacts
CNContactPicker.Show,Contacts,Contacts
CNContact.SetValue,Contacts,Contacts
CNContact.Show,Contacts,Contacts
CNContact.ShowInAddressbook,Contacts,Contacts
CNContactStore.AddContact,Contacts,Contacts
CNContactStore.AddGroup,Contacts,Contacts
CNContactStore.AddMember,Contacts,Contacts
CNContactStore.AddSubgroup,Contacts,Contacts
CNContactStore.AuthorizationError,Contacts,Contacts
CNContactStore.AuthorizationStatus,Contacts,Contacts
CNContactStore.ChangeHistory,Contacts,Contacts
CNContactStore.Contacts,Contacts,Contacts
CNContactStore.ContactsInContainer,Contacts,Contacts
CNContactStore.ContactsInGroup,Contacts,Contacts
CNContactStore.ContactsMatchingEmailAddress,Contacts,Contacts
CNContactStore.ContactsMatchingName,Contacts,Contacts
CNContactStore.ContactsMatchingPhoneNumber,Contacts,Contacts
CNContactStore.ContactsMatchingURL,Contacts,Contacts
CNContactStore.ContactsWithData,Contacts,Contacts
CNContactStore.ContainerForContact,Contacts,Contacts
CNContactStore.ContainerForGroup,Contacts,Contacts
CNContactStore.Containers,Contacts,Contacts
CNContactStore.Country,Contacts,Contacts
CNContactStore.DataWithContacts,Contacts,Contacts
CNContactStore.DefaultContainerIdentifier,Contacts,Contacts
CNContactStore.DeleteContact,Contacts,Contacts
CNContactStore.DeleteGroup,Contacts,Contacts
CNContactStore.FetchContact,Contacts,Contacts
CNContactStore.GetTransactionAuthor,Contacts,Contacts
CNContactStore.GroupHierarchy,Contacts,Contacts
CNContactStore.Groups,Contacts,Contacts
CNContactStore.GroupsByName,Contacts,Contacts
CNContactStore.GroupsForContact,Contacts,Contacts
CNContactStore.GroupsInContainer,Contacts,Contacts
CNContactStore.NewContact,Contacts,Contacts
CNContactStore.RemoveMember,Contacts,Contacts
CNContactStore.RemoveSubgroup,Contacts,Contacts
CNContactStore.RenameGroup,Contacts,Contacts
CNContactStore.RequestAccesss,Contacts,Contacts
CNContactStore.SetChangeScript,Contacts,Contacts
CNContactStore.SetTransactionAuthor,Contacts,Contacts
CNContactStore.Subgroups,Contacts,Contacts
CNContactStore.UnifiedMeContact,Contacts,Contacts
CNContactStore.UpdateContact,Contacts,Contacts
CNContact.UnifiedContacts,Contacts,Contacts
CNContact.Value,Contacts,Contacts
CNContainer.Name,Contacts,Contacts
CNContainer.Type,Contacts,Contacts
CNGroup.Name,Contacts,Contacts
ClearErrors,Plugin,Plugin
ClearRegistration,Plugin,Plugin
CompileDate,Plugin,Plugin
CompileTime,Plugin,Plugin
ContinuityCamera.Clear,ImagePicker,"ImagePicker, ContinuityCamera"
ContinuityCamera.Import,ImagePicker,"ImagePicker, ContinuityCamera"
ContinuityCamera.PopupMenu,ImagePicker,"ImagePicker, ContinuityCamera"
ContinuityCamera.Result,ImagePicker,"ImagePicker, ContinuityCamera"
ContinuityCamera.SetScriptTrigger,ImagePicker,"ImagePicker, ContinuityCamera"
CoreImage.Detect,CoreML,CoreML
Dictionary.AddSQLRecord,Dictionary,"Dictionary, FMSQL"
Dictionary.AddSQLRecords,Dictionary,"Dictionary, FMSQL"
Dictionary.ToJSON,Dictionary,"Dictionary, JSON"
Dictionary.ToXML,Dictionary,"Dictionary, XML"
DocumentPicker.Dismiss,FileDialog,FileDialog
DocumentPicker.Export,FileDialog,FileDialog
DocumentPicker.File,FileDialog,FileDialog
DocumentPicker.FileCount,FileDialog,FileDialog
DocumentPicker.Files,FileDialog,FileDialog
DocumentPicker.Import,FileDialog,FileDialog
DocumentPicker.IsVisible,FileDialog,FileDialog
DocumentPicker.Move,FileDialog,FileDialog
DocumentPicker.Open,FileDialog,FileDialog
DocumentPicker.SetTrigger,FileDialog,FileDialog
ECKey.BuiltInCurves,Sign,Sign
ECKey.BuiltInCurvesJSON,Sign,Sign
ECKey.CanSign,Sign,Sign
ECKey.CurveNameToID,Encryption,Encryption
ECKey.Description,Sign,Sign
ECKey.Duplicate,Sign,Sign
ECKey.ES256Sign,Sign,Sign
ECKey.ES256Verify,Sign,Sign
ECKey.Generate,Sign,Sign
ECKey.List,Sign,Sign
ECKey.PrivateKey,Sign,Sign
ECKey.PublicKey,Sign,Sign
ECKey.ReadPrivateKey,Sign,Sign
ECKey.ReadPublicKey,Sign,Sign
ECKey.Release,Sign,Sign
ECKey.ReleaseAll,Sign,Sign
ECKey.Sign,Sign,Sign
ECKey.Size,Sign,Sign
ECKey.Valid,Sign,Sign
ECKey.Verify,Sign,Sign
Email.Verify,Utility,"Utility, SendMail"
ErrorLog,Plugin,Plugin
FM.CF,FM,"FM, Dictionary"
FM.CompareTables,FM,"FM, FMSQL"
FM.DeleteRecord,FM,"FM, FMSQL"
FM.DeleteRecords,FM,"FM, FMSQL"
FM.ExecuteFileSQL,FM,"FM, FMSQL"
FM.ExecuteFileSQLOnIdle,FM,"FM, FMSQL"
FM.ExecuteFileSQLValue,FM,"FM, FMSQL"
FM.ExecuteSQL,FM,"FM, FMSQL"
FM.ExecuteSQL.LastError,FM,"FM, FMSQL"
FM.ExecuteSQL.LastErrorMessage,FM,"FM, FMSQL"
FM.ExecuteSQL.LastParameters,FM,"FM, FMSQL"
FM.ExecuteSQL.LastSQL,FM,"FM, FMSQL"
FM.ExecuteSQLOnIdle,FM,"FM, FMSQL"
FM.GetSQLBatchMode,FM,"FM, FMSQL"
FM.InsertOrUpdateRecord,FM,"FM, FMSQL"
FM.InsertOrUpdateRecord2,FM,"FM, FMSQL"
FM.InsertOrUpdateRecord3,FM,"FM, FMSQL"
FM.InsertOrUpdateRecord4,FM,"FM, FMSQL"
FM.InsertOrUpdateRecord5,FM,"FM, FMSQL"
FM.InsertOrUpdateRecordQuery,FM,"FM, FMSQL"
FM.InsertRecord,FM,"FM, FMSQL"
FM.InsertRecordCSV,FM,"FM, FMSQL"
FM.InsertRecordQuery,FM,"FM, FMSQL"
FM.InsertRecordQueryIgnoreDuplicates,FM,"FM, FMSQL"
FM.InsertRecordTSV,FM,"FM, FMSQL"
FM.InsertSetUpdateProgressDialog,FM,"FM, FMSQL"
FM.NULL,FM,"FM, FMSQL"
FM.QueryBaseTableNames,FM,"FM, FMSQL"
FM.QueryFieldsForBaseTableName,FM,"FM, FMSQL"
FM.QueryFieldsForTableName,FM,"FM, FMSQL"
FM.QueryTableNames,FM,"FM, FMSQL"
FM.SQL.Avg,FM,"FM, FMSQL"
FM.SQL.CSV,FM,"FM, FMSQL"
FM.SQL.Execute,FM,"FM, FMSQL"
FM.SQL.Field,FM,"FM, FMSQL"
FM.SQL.FieldCount,FM,"FM, FMSQL"
FM.SQL.FieldType,FM,"FM, FMSQL"
FM.SQL.InsertOrUpdateRecords,FM,"FM, FMSQL"
FM.SQL.InsertRecords,FM,"FM, FMSQL"
FM.SQL.InsertRecordsToSQL,FM,"FM, FMSQL, SQL"
FM.SQL.JSONColumn,FM,"FM, FMSQL, JSON"
FM.SQL.JSONRecord,FM,"FM, FMSQL, JSON"
FM.SQL.JSONRecords,FM,"FM, FMSQL, JSON"
FM.SQL.List,FM,"FM, FMSQL"
FM.SQL.Max,FM,"FM, FMSQL"
FM.SQL.Min,FM,"FM, FMSQL"
FM.SQL.Release,FM,"FM, FMSQL"
FM.SQL.ReleaseAll,FM,"FM, FMSQL"
FM.SQL.RowCount,FM,"FM, FMSQL"
FM.SQL.Sum,FM,"FM, FMSQL"
FM.SQL.Text,FM,"FM, FMSQL"
FM.SQL.ToMatrix,FM,"FM, FMSQL"
FM.SQL.XMLRecord,FM,"FM, FMSQL, XML"
FM.SQL.XMLRecords,FM,"FM, FMSQL, XML"
FM.SetSQLBatchMode,FM,"FM, FMSQL"
FM.TableStatistics,FM,"FM, FMSQL"
FM.UpdateRecord,FM,"FM, FMSQL"
FM.UpdateRecord2,FM,"FM, FMSQL"
FM.UpdateRecord3,FM,"FM, FMSQL"
FM.UpdateRecord4,FM,"FM, FMSQL"
FM.UpdateRecord5,FM,"FM, FMSQL"
FM.UpdateRecords,FM,"FM, FMSQL"
FM.UpdateRecords2,FM,"FM, FMSQL"
FM.UpdateRecords3,FM,"FM, FMSQL"
FM.UpdateRecords4,FM,"FM, FMSQL"
FM.UpdateRecords5,FM,"FM, FMSQL"
FileDialogWatcher.GetLastPath,FileDialog,FileDialog
FileDialogWatcher.Install,FileDialog,FileDialog
FontManager.FontFile,Font,Font
FontManager.ImageWithSystemSymbolName,Font,Font
FontManager.ListFontFamilies,Font,Font
FontManager.ListFonts,Font,Font
GMImage.AdaptiveThreshold,GraphicsMagick,GraphicsMagick
GMImage.AddNoise,GraphicsMagick,GraphicsMagick
GMImage.AddNoiseChannel,GraphicsMagick,GraphicsMagick
GMImage.AddPathArcAbs,GraphicsMagick,GraphicsMagick
GMImage.AddPathArcRel,GraphicsMagick,GraphicsMagick
GMImage.AddPathClosePath,GraphicsMagick,GraphicsMagick
GMImage.AddPathCurvetoAbs,GraphicsMagick,GraphicsMagick
GMImage.AddPathCurvetoRel,GraphicsMagick,GraphicsMagick
GMImage.AddPathLinetoAbs,GraphicsMagick,GraphicsMagick
GMImage.AddPathLinetoHorizontalAbs,GraphicsMagick,GraphicsMagick
GMImage.AddPathLinetoHorizontalRel,GraphicsMagick,GraphicsMagick
GMImage.AddPathLinetoRel,GraphicsMagick,GraphicsMagick
GMImage.AddPathLinetoVerticalAbs,GraphicsMagick,GraphicsMagick
GMImage.AddPathLinetoVerticalRel,GraphicsMagick,GraphicsMagick
GMImage.AddPathMovetoAbs,GraphicsMagick,GraphicsMagick
GMImage.AddPathMovetoRel,GraphicsMagick,GraphicsMagick
GMImage.AddPathQuadraticCurvetoAbs,GraphicsMagick,GraphicsMagick
GMImage.AddPathQuadraticCurvetoRel,GraphicsMagick,GraphicsMagick
GMImage.AddPathSmoothCurvetoAbs,GraphicsMagick,GraphicsMagick
GMImage.AddPathSmoothCurvetoRel,GraphicsMagick,GraphicsMagick
GMImage.AddPathSmoothQuadraticCurvetoAbs,GraphicsMagick,GraphicsMagick
GMImage.AddPathSmoothQuadraticCurvetoRel,GraphicsMagick,GraphicsMagick
GMImage.Affine,GraphicsMagick,GraphicsMagick
GMImage.AffineTransform,GraphicsMagick,GraphicsMagick
GMImage.Annotate,GraphicsMagick,GraphicsMagick
GMImage.AutoOrient,GraphicsMagick,GraphicsMagick
GMImage.AveragePixelValue,GraphicsMagick,GraphicsMagick
GMImage.BaseColumns,GraphicsMagick,GraphicsMagick
GMImage.BaseFilename,GraphicsMagick,GraphicsMagick
GMImage.BaseRows,GraphicsMagick,GraphicsMagick
GMImage.Blur,GraphicsMagick,GraphicsMagick
GMImage.BlurChannel,GraphicsMagick,GraphicsMagick
GMImage.Border,GraphicsMagick,GraphicsMagick
GMImage.BoundingBox,GraphicsMagick,GraphicsMagick
GMImage.Channel,GraphicsMagick,GraphicsMagick
GMImage.Charcoal,GraphicsMagick,GraphicsMagick
GMImage.Chop,GraphicsMagick,GraphicsMagick
GMImage.ClipMask,GraphicsMagick,GraphicsMagick
GMImage.ClipPath,GraphicsMagick,GraphicsMagick
GMImage.Coders,GraphicsMagick,GraphicsMagick
GMImage.Colorize,GraphicsMagick,GraphicsMagick
GMImage.ColorizeRGB,GraphicsMagick,GraphicsMagick
GMImage.Columns,GraphicsMagick,GraphicsMagick
GMImage.Compare,GraphicsMagick,GraphicsMagick
GMImage.Composite,GraphicsMagick,GraphicsMagick
GMImage.CompositeXY,GraphicsMagick,GraphicsMagick
GMImage.Contrast,GraphicsMagick,GraphicsMagick
GMImage.Copy,GraphicsMagick,GraphicsMagick
GMImage.CopyChannel,GraphicsMagick,GraphicsMagick
GMImage.Crop,GraphicsMagick,GraphicsMagick
GMImage.CycleColormap,GraphicsMagick,GraphicsMagick
GMImage.Describe,GraphicsMagick,GraphicsMagick
GMImage.Despeckle,GraphicsMagick,GraphicsMagick
GMImage.Directory,GraphicsMagick,GraphicsMagick
GMImage.DrawArc,GraphicsMagick,GraphicsMagick
GMImage.DrawCircle,GraphicsMagick,GraphicsMagick
GMImage.DrawEllipse,GraphicsMagick,GraphicsMagick
GMImage.DrawLine,GraphicsMagick,GraphicsMagick
GMImage.DrawPath,GraphicsMagick,GraphicsMagick
GMImage.DrawRectangle,GraphicsMagick,GraphicsMagick
GMImage.DrawRoundRectangle,GraphicsMagick,GraphicsMagick
GMImage.Edge,GraphicsMagick,GraphicsMagick
GMImage.Emboss,GraphicsMagick,GraphicsMagick
GMImage.Enhance,GraphicsMagick,GraphicsMagick
GMImage.Equalize,GraphicsMagick,GraphicsMagick
GMImage.Erase,GraphicsMagick,GraphicsMagick
GMImage.ExifThumbnail,GraphicsMagick,GraphicsMagick
GMImage.Extent,GraphicsMagick,GraphicsMagick
GMImage.FillPattern,GraphicsMagick,GraphicsMagick
GMImage.FindColorInColumn,GraphicsMagick,GraphicsMagick
GMImage.FindColorInRow,GraphicsMagick,GraphicsMagick
